iter	Passed	Remaining
0	169	84809
1	195	48653
2	212	35160
3	266	33103
4	294	29119
5	310	25565
6	339	23923
7	368	22654
8	408	22299
9	451	22104
10	480	21366
11	517	21037
12	551	20676
13	579	20102
14	610	19745
15	633	19173
16	672	19109
17	758	20304
18	768	19452
19	804	19311
20	830	18948
21	865	18801
22	890	18473
23	916	18181
24	971	18465
25	1066	19438
26	1129	19790
27	1187	20011
28	1250	20307
29	1283	20107
30	1295	19596
31	1340	19606
32	1370	19401
33	1406	19280
34	1445	19208
35	1481	19096
36	1517	18986
37	1547	18813
38	1581	18696
39	1614	18562
40	1678	18786
41	1720	18764
42	1744	18539
43	1793	18585
44	1819	18400
45	1848	18243
46	1870	18032
47	1895	17851
48	1921	17688
49	1940	17468
50	1971	17355
51	2002	17249
52	2029	17117
53	2061	17026
54	2092	16929
55	2106	16699
56	2136	16601
57	2165	16502
58	2194	16402
59	2234	16384
60	2268	16328
61	2303	16274
62	2353	16324
63	2388	16273
64	2421	16203
65	2430	15982
66	2461	15905
67	2483	15779
68	2509	15672
69	2533	15564
70	2562	15484
71	2594	15422
72	2623	15346
73	2654	15281
74	2683	15206
75	2714	15142
76	2750	15111
77	2800	15149
78	2827	15068
79	2867	15052
80	2894	14974
81	2921	14892
82	2950	14825
83	2978	14749
84	3008	14690
85	3051	14689
86	3114	14783
87	3184	14907
88	3232	14926
89	3257	14839
90	3297	14820
91	3479	15433
92	3554	15553
93	3614	15612
94	3783	16129
95	3812	16046
96	3876	16106
97	3908	16031
98	3964	16058
99	4001	16004
100	4042	15969
101	4074	15897
102	4102	15811
103	4128	15721
104	4153	15623
105	4176	15524
106	4192	15397
107	4216	15303
108	4240	15210
109	4255	15088
110	4280	14999
111	4303	14909
112	4329	14826
113	4353	14740
114	4369	14627
115	4392	14541
116	4412	14444
117	4436	14363
118	4461	14283
119	4485	14204
120	4509	14124
121	4535	14052
122	4561	13979
123	4590	13918
124	4620	13861
125	4649	13801
126	4676	13735
127	4704	13671
128	4731	13607
129	4755	13534
130	4779	13462
131	4803	13391
